@relation kitchenham

@attribute Project numeric
@attribute Client.code {1,2,3,4,5,6}
@attribute Project.type {A,C,D,P,Pr,U}
@attribute Actual.duration numeric
@attribute Actual.effort numeric
@attribute Adjusted.function.points numeric
@attribute First.estimate numeric
@attribute First.estimate.method {A,C,CAE,D,EO,W}

@data
1,1,A,107,485,101.65,495,EO
2,1,D,144,990,57.12,1365,A
3,1,D,604,13635,1010.88,8244,EO
4,1,P,226,1576,45.6,1595,D
5,1,D,326,3826,1022.58,3828,A
6,1,P,294,1079,77.04,879,EO
7,1,A,212,2224,159.6,2895,EO
8,1,C,175,1698,225.54,1800,A
9,1,Pr,584,1173,144.72,1160,EO
10,1,D,171,1401,84.42,885,EO
11,1,D,201,2170,126.42,2125,EO
12,1,D,195,1122,392.16,1381,EO
13,1,U,109,1024,18.9,1142,D
14,1,P,263,1832,112.14,1895,EO
15,1,A,165,1016,210.08,1339,EO
16,1,D,46,322,260.95,447,EO
17,2,D,186,580,609.7,507,EO
18,2,D,189,1003,169.85,952,EO
19,2,P,95,380,56,380,EO
20,2,P,53,220,30,220,EO
21,2,P,365,2356,241.86,2879,EO
22,2,P,438,1388,219.88,1483,EO
23,2,P,109,1066,229.71,1667,EO
24,2,D,283,2860,458.38,2125,A
25,2,P,137,1143,177.63,1175,A
26,2,P,102,1431,287.64,2213,A
27,2,P,103,1868,343.54,2247,A
28,2,P,192,2172,346.8,1926,A
29,2,D,219,8509,1121.48,5641,EO
30,2,P,484,5927,761.08,3928,EO
31,2,P,173,2663,464,1995,A
32,2,P,169,1425,203.01,2281,EO
33,2,P,207,3504,550.14,3305,EO
34,2,P,61,652,86.45,797,EO
35,2,P,311,7649,1362.11,3922,A
36,2,P,418,5927,681,6809,A
37,2,P,410,6607,485.1,4955,A
38,2,?,497,2591,172.96,1294,EO
39,2,P,259,4494,2075.8,5688,EO
40,2,D,234,4824,756.25,5245,EO
41,2,?,462,5094,789.66,3930,EO
42,2,P,291,3088,357,2562,EO
43,2,P,116,892,62.08,1526,C
44,2,P,128,750,157.56,1018,EO
45,2,D,185,5646,322.62,5646,CAE
46,2,P,207,1532,81.34,1532,EO
47,2,P,151,1280,191,1532,EO
48,2,P,99,313,121.52,314,EO
49,2,P,61,339,222.78,412,A
50,2,P,101,583,113.52,738,EO
51,2,?,462,726,15.36,763,EO
52,2,P,133,1939,320.12,1750,A
53,2,P,106,669,84.28,682,A
54,2,P,68,1413,248.88,1320,EO
55,2,P,239,4115,616.32,3573,EO
56,2,P,330,4009,515.07,2913,A
57,2,P,37,630,88.2,701,EO
58,2,P,187,718,115.14,725,A
59,2,P,329,1584,63.84,1826,A
60,2,P,120,5816,1015.98,5000,EO
61,2,P,85,2037,359.64,2640,A
62,2,P,49,1428,240.84,2534,A
63,2,P,152,1252,285.12,2231,A
64,2,P,47,655,61.2,1000,EO
65,2,?,148,1318,287.28,1645,D
66,2,D,141,995,172,1067,EO
67,2,D,235,2265,144.06,2270,EO
68,2,D,298,654,108.64,656,EO
69,2,?,99,718,165.36,121,A
70,2,P,127,2029,680.9,1685,EO
71,2,D,163,1650,409.4,2350,EO
72,2,D,316,2223,313.95,2308,EO
73,2,D,388,8600,1136.34,7850,A
74,2,P,152,1884,177,2004,EO
75,2,D,166,5359,746.24,3715,W
76,2,P,114,1159,274.92,1273,A
77,2,P,82,437,43.5,437,A
78,2,D,123,570,54.75,813,EO
79,2,P,49,502,130,900,EO
80,2,P,183,1877,525.96,2475,A
81,2,P,149,1693,311.85,799,A
82,2,?,370,3319,1185.08,2160,EO
83,2,D,128,1557,258.24,1770,EO
84,2,P,126,557,60,760,EO
85,2,P,200,3050,303.52,2588,A
86,2,D,76,1113,98.9,1148,A
87,2,P,299,5456,711.9,4064,EO
88,2,D,131,763,182.4,933,EO
89,2,?,140,2203,351.9,2096,EO
90,2,P,169,3483,401.98,3284,EO
91,2,P,130,2393,162.61,4576,A
92,2,D,389,15673,1210.99,14226,EO
93,2,D,166,2972,156.42,6080,EO
94,2,P,148,4068,603.58,4046,EO
95,2,P,131,698,73.92,649,EO
96,2,P,144,676,121.55,817,EO
97,2,?,369,6307,1234.2,6340,EO
98,2,P,155,219,35,300,EO
99,2,?,102,254,61.06,315,EO
100,2,P,149,324,162,750,EO
101,2,P,548,874,1285.7,898,EO
102,2,D,946,113930,18137.48,79870,EO
103,2,D,186,1722,1020.6,1600,EO
104,2,D,212,1660,377,1702,EO
105,2,P,84,693,210.45,592,EO
106,2,D,250,1455,410,2158,EO
107,2,D,86,988,279,994,EO
108,2,D,102,1940,240,1875,EO
109,2,P,137,2408,230,2527,EO
110,2,D,87,1737,150.29,2606,EO
111,2,D,291,12646,1940.68,12694,EO
112,2,D,392,4414,401,4176,EO
113,2,D,165,2480,267,2240,EO
114,2,D,88,980,102,980,EO
115,2,D,249,3189,403,3720,EO
116,2,D,186,2895,857,2914,EO
117,2,D,63,322,69,360,EO
118,2,A,192,3555,980.95,3700,EO
119,2,P,123,570,100.8,200,EO
120,2,P,123,464,105.28,578,EO
121,2,D,186,1742,158.4,1652,EO
122,2,D,119,896,219.88,780,A
123,2,P,195,8656,1292.56,8690,EO
124,2,P,210,3966,616.08,3748,EO
125,2,D,180,989,103.4,710,EO
126,2,P,238,585,74.4,856,EO
127,2,P,144,1860,356.31,2436,EO
128,2,P,432,5249,862,4101,EO
129,2,P,392,5192,791.84,5231,EO
130,2,D,205,1832,661.27,2853,A
131,2,D,49,928,179,1246,EO
132,3,P,205,2570,518.4,2570,EO
133,3,D,145,1328,370,1328,EO
134,3,D,172,2964,839.05,3380,EO
135,3,P,137,1304,243.86,1522,EO
136,4,D,371,1631,557.28,2264,EO
137,4,C,217,955,485.94,2790,EO
138,4,D,308,286,698.54,1312,EO
139,4,D,217,1432,752.64,2210,A
140,5,D,40,321,809.25,337,EO
141,6,P,253,593,178.1,865,EO
142,6,P,405,302,81.48,441,EO
143,6,P,241,2634,1093.86,2731,EO
144,6,?,156,1040,1002.76,1039,EO
145,2,D,92,887,551.88,1393,A
